last_name, first_name,player_id,year,p_era,z_swing_percent,z_swing_miss_percent,oz_swing_percent,oz_swing_miss_percent,oz_contact_percent,meatball_swing_percent,iz_contact_percent,whiff_percent,swing_percent,
Fernandez, Jose,605228,2016,2.86,61.7,20.5,31.5,54.7,44.3,71.4,78.9,32.7,46,
Finnegan, Brandon,605232,2016,3.98,65.6,16.7,27.1,35.6,63.6,76.6,81.7,22.5,45.5,
Rodon, Carlos,607074,2016,4.04,64,15.6,27.4,43,55.1,75.6,83.4,23.5,46.3,
Graveman, Kendall,608665,2016,4.11,62.5,10.6,27.2,35,64.8,75.8,88.6,18.1,44.7,
Maeda, Kenta,628317,2016,3.48,63.5,19.4,31.7,40.2,58.7,71.8,80,27.4,45.8,
Wainwright, Adam,425794,2019,4.19,60.9,12.1,25.1,35.6,63.3,74.3,86.6,19,42.4,
Greinke, Zack,425844,2019,2.93,63.6,15.9,33.2,36.7,62.9,72.3,83.7,24.1,46.7,
Verlander, Justin,434378,2019,2.58,67.9,26.6,35.2,47.7,52,77.6,73,33.6,51.9,
Sanchez, Anibal,434671,2019,3.85,67.8,16.3,32.1,33,66.3,74.7,83.2,22.3,48.4,
Morton, Charlie,450203,2019,3.05,63,19.1,31,52,47.4,72.8,80.8,29.6,47.4,
Lester, Jon,452657,2019,4.46,68.3,14.9,28.1,32.8,66.7,81.2,84.1,21,45.7,
Scherzer, Max,453286,2019,2.92,70.8,25.9,34,50.4,49.4,77.3,73.5,33.8,52.5,
Bailey, Homer,456701,2019,4.57,67.6,15.8,29.4,42.6,57.4,72.5,83.9,24.1,48.5,
Lynn, Lance,458681,2019,3.67,69.3,22.4,28.3,43.2,56.4,85.2,76.6,28.5,49,
Nova, Ivan,467100,2019,4.72,69.1,11.1,30.9,32.9,67.1,78.4,87.9,18.4,48.9,
Anderson, Brett,474463,2019,3.89,66.5,10.3,27.3,34.6,64.9,75.1,88.4,17,47.5,
Kershaw, Clayton,477132,2019,3.03,69.5,16.5,34.3,49.1,49.8,78.4,82.2,27.4,51.3,
